Sample	Sample_name	Sort_date	Day	Adapter	Batch
s1	S1_day0	17/01/2020	Day 0	N701	B1
s2	S2_day1	17/01/2020	Day 1	N702	B1
s3	S3_day3	17/01/2020	Day 3	N703	B1
s4	S4_day4	18/03/2020	Day 4	N712	B2
s5	S5_day5	18/03/2020	Day 5	N714	B2
s6	S6_day5	18/03/2020	Day 5	N715	B2
s7	S7_day2	16/06/2020	Day 2	N727	B3
s8	S8_day4	16/06/2020	Day 4	N728	B3
s9	S9_day2	04/07/2020	Day 2	N719	B4
s10	S10_day3	04/07/2020	Day 3	N720	B4
s11	S11_day6	04/07/2020	Day 6	N721	B4
s12	S12_day1	24/11/2020	Day 1	N705	B5
s13	S13_day1	24/11/2020	Day 1	N706	B5
s14	S14_day0	16/12/2020	Day 0	N707	B6
s15	S15_day6	16/12/2020	Day 6	N710	B6
