Sample	initial_sample_nr	Sequencing_series	Sort_date	Run	Biol_replicate	Culture_type	Cultured_lines	Sorted_line	Cell_type	Drug	Treatment	Drug_concentration	nr_on_tube	pairing_batch
i1	T1	Nov-24	24-Sep-24	Run1	T3P5	Cocul	mT3_PSC5	mT3	T	DMSO	DMSO	NA	1	B1
i2	T2	Nov-24	24-Sep-24	Run1	T3P5	Cocul	mT3_PSC5	mT3	T	H151	H151_1	1	2	B1
i3	T3	Nov-24	24-Sep-24	Run1	T3P5	Cocul	mT3_PSC5	mT3	T	DMXAA	DMXAA	100	3	B1
i4	T4	Nov-24	24-Sep-24	Run1	T4P4	Cocul	mT4_PSC4	mT4	T	DMSO	DMSO	NA	4	B2
i5	T5	Nov-24	24-Sep-24	Run1	T4P4	Cocul	mT4_PSC4	mT4	T	H151	H151_1	1	5	B2
i6	T6	Nov-24	24-Sep-24	Run1	T4P4	Cocul	mT4_PSC4	mT4	T	DMXAA	DMXAA	100	6	B2
i7	T7	Nov-24	24-Sep-24	Run1	T3P5	Cocul	mT3_PSC5	PSC5	PSC	DMSO	DMSO	NA	7	B3
i8	T8	Nov-24	24-Sep-24	Run1	T3P5	Cocul	mT3_PSC5	PSC5	PSC	H151	H151_1	1	8	B3
i9	T9	Nov-24	24-Sep-24	Run1	T3P5	Cocul	mT3_PSC5	PSC5	PSC	DMXAA	DMXAA	100	9	B3
i10	T10	Nov-24	24-Sep-24	Run1	T4P4	Cocul	mT4_PSC4	PSC4	PSC	DMSO	DMSO	NA	10	B4
i11	T11	Nov-24	24-Sep-24	Run1	T4P4	Cocul	mT4_PSC4	PSC4	PSC	H151	H151_1	1	11	B4
i12	T12	Nov-24	24-Sep-24	Run1	T4P4	Cocul	mT4_PSC4	PSC4	PSC	DMXAA	DMXAA	100	12	B4
i13	T13	Nov-24	24-Sep-24	Run1	T3P5	Mono	mT3	mT3	T	DMSO	DMSO	NA	13	B5
i14	T14	Nov-24	24-Sep-24	Run1	T3P5	Mono	mT3	mT3	T	H151	H151_1	1	14	B5
i15	T15	Nov-24	24-Sep-24	Run1	T3P5	Mono	mT3	mT3	T	DMXAA	DMXAA	100	15	B5
i16	T16	Nov-24	24-Sep-24	Run1	T4P4	Mono	mT4	mT4	T	DMSO	DMSO	NA	16	B6
i17	T17	Nov-24	24-Sep-24	Run1	T4P4	Mono	mT4	mT4	T	H151	H151_1	1	17	B6
i18	T18	Nov-24	24-Sep-24	Run1	T4P4	Mono	mT4	mT4	T	DMXAA	DMXAA	100	18	B6
i19	T19	Nov-24	24-Sep-24	Run1	T3P5	Mono	PSC5	PSC5	PSC	DMSO	DMSO	NA	19	B7
i20	T20	Nov-24	24-Sep-24	Run1	T3P5	Mono	PSC5	PSC5	PSC	H151	H151_1	1	20	B7
i21	T21	Nov-24	24-Sep-24	Run1	T3P5	Mono	PSC5	PSC5	PSC	DMXAA	DMXAA	100	21	B7
i22	T22	Nov-24	24-Sep-24	Run1	T4P4	Mono	PSC4	PSC4	PSC	DMSO	DMSO	NA	22	B8
i23	T23	Nov-24	24-Sep-24	Run1	T4P4	Mono	PSC4	PSC4	PSC	H151	H151_1	1	23	B8
i24	T24	Nov-24	24-Sep-24	Run1	T4P4	Mono	PSC4	PSC4	PSC	DMXAA	DMXAA	100	24	B8
i25	T25	Nov-24	27-Sep-24	Run2	T3P5	Cocul	mT3_PSC5	mT3	T	DMSO	DMSO	NA	1	B9
i26	T26	Nov-24	27-Sep-24	Run2	T3P5	Cocul	mT3_PSC5	mT3	T	H151	H151_25	25	2	B9
i27	T27	Nov-24	27-Sep-24	Run2	T3P5	Cocul	mT3_PSC5	mT3	T	DMXAA	DMXAA	100	3	B9
i28	T28	Nov-24	27-Sep-24	Run2	T4P4	Cocul	mT4_PSC4	mT4	T	DMSO	DMSO	NA	4	B10
i29	T29	Nov-24	27-Sep-24	Run2	T4P4	Cocul	mT4_PSC4	mT4	T	H151	H151_25	25	5	B10
i30	T30	Nov-24	27-Sep-24	Run2	T4P4	Cocul	mT4_PSC4	mT4	T	DMXAA	DMXAA	100	6	B10
i31	T31	Nov-24	27-Sep-24	Run2	T3P5	Cocul	mT3_PSC5	PSC5	PSC	DMSO	DMSO	NA	7	B11
i32	T32	Nov-24	27-Sep-24	Run2	T3P5	Cocul	mT3_PSC5	PSC5	PSC	H151	H151_25	25	8	B11
i33	T33	Nov-24	27-Sep-24	Run2	T3P5	Cocul	mT3_PSC5	PSC5	PSC	DMXAA	DMXAA	100	9	B11
i34	T34	Nov-24	27-Sep-24	Run2	T4P4	Cocul	mT4_PSC4	PSC4	PSC	DMSO	DMSO	NA	10	B12
i35	T35	Nov-24	27-Sep-24	Run2	T4P4	Cocul	mT4_PSC4	PSC4	PSC	H151	H151_25	25	11	B12
i36	T36	Nov-24	27-Sep-24	Run2	T4P4	Cocul	mT4_PSC4	PSC4	PSC	DMXAA	DMXAA	100	12	B12
i37	T37	Nov-24	27-Sep-24	Run2	T3P5	Mono	mT3	mT3	T	DMSO	DMSO	NA	13	B13
i38	T38	Nov-24	27-Sep-24	Run2	T3P5	Mono	mT3	mT3	T	H151	H151_25	25	14	B13
i39	T39	Nov-24	27-Sep-24	Run2	T3P5	Mono	mT3	mT3	T	DMXAA	DMXAA	100	15	B13
i40	T40	Nov-24	27-Sep-24	Run2	T4P4	Mono	mT4	mT4	T	DMSO	DMSO	NA	16	B14
i41	T41	Nov-24	27-Sep-24	Run2	T4P4	Mono	mT4	mT4	T	H151	H151_25	25	17	B14
i42	T42	Nov-24	27-Sep-24	Run2	T4P4	Mono	mT4	mT4	T	DMXAA	DMXAA	100	18	B14
i43	T43	Nov-24	27-Sep-24	Run2	T3P5	Mono	PSC5	PSC5	PSC	DMSO	DMSO	NA	19	B15
i44	T44	Nov-24	27-Sep-24	Run2	T3P5	Mono	PSC5	PSC5	PSC	H151	H151_25	25	20	B15
i45	T45	Nov-24	27-Sep-24	Run2	T3P5	Mono	PSC5	PSC5	PSC	DMXAA	DMXAA	100	21	B15
i46	T46	Nov-24	27-Sep-24	Run2	T4P4	Mono	PSC4	PSC4	PSC	DMSO	DMSO	NA	22	B16
i47	T47	Nov-24	27-Sep-24	Run2	T4P4	Mono	PSC4	PSC4	PSC	H151	H151_25	25	23	B16
i48	T48	Nov-24	27-Sep-24	Run2	T4P4	Mono	PSC4	PSC4	PSC	DMXAA	DMXAA	100	24	B16
i49	T49	Nov-24	29-Sep-24	Run3	T3P5	Cocul	mT3_PSC5	mT3	T	DMSO	DMSO	NA	1	B17
i50	T50	Nov-24	29-Sep-24	Run3	T3P5	Cocul	mT3_PSC5	mT3	T	H151	H151_25	25	2	B17
